id,title,publication date
WO-2020089925-A1,Quick mount and demount nut-bolt assembly ,2020-05-07
US-2482961-A,Friction device for damping shimmy in caster wheels ,1949-09-27
CN-112344144-A,Mobile system for farmland infrastructure construction machinery ,2021-02-09
CN-218874193-U,Welding device with protective structure for producing caster ,2023-04-18
US-1222517-A,Lifting mechanism for plows. ,1917-04-10
US-1064028-A,Check-row corn-planter. ,1913-06-10
CN-2183282-Y,High-load universal castor ,1994-11-23
CN-109807610-B,"Caster wheel installation equipment, method and device ",2020-03-13
CN-117428481-A,Automatic assembly machine of truckle ,2024-01-23
US-4969232-A,Adjustable caster wheel assembly ,1990-11-13
US-6055704-A,Caster with built-in adjustment ,2000-05-02
CN-205087857-U,Annular shuttle removes maintenance support ,2016-03-16
CN-215532234-U,High-bearing silent luggage caster ,2022-01-18
CN-115787945-A,Building roof construction tool ,2023-03-14
CN-115519938-A,Truckle for mining machinery equipment with buffer function ,2022-12-27
CN-115503396-A,Caster with braking device and using method thereof ,2022-12-23
CN-2496686-Y,Retractable universal castor ,2002-06-26
CN-209972063-U,Caster wheel mounting structure and air purifier ,2020-01-21
US-1180562-A,Truck for straw-spreaders. ,1916-04-25
CN-109649947-A,A kind of adjustable belt conveyor of the gradient ,2019-04-19
CN-115027180-A,Central control caster locking device ,2022-09-09
JP-S63212185-A,Low deck small-sized three wheel vehicle ,1988-09-05
DE-19740641-A1,"Caster wheel for movable equipment, especially refuse container ",1998-04-16
CN-203428274-U,Integrated hopper waste press-mounting machine ,2014-02-12
CN-114964749-A,Test equipment ,2022-08-30
JP-2000085308-A,Caster turning device ,2000-03-28
US-2023147625-A1,Caster wheel anti-oscillation mechanism ,2023-05-11
CN-217321054-U,Caster wheel position limiting piece cutting piece used on package of swivel chair ,2022-08-30
US-6561062-B2,Lathe ,2003-05-13
CN-204057692-U,A kind of cable paper transfer tooling ,2014-12-31
CN-214057124-U,Case and bag wheel with shock-absorbing function ,2021-08-27
US-3467981-A,Caster brake mechanism ,1969-09-23
CN-216401073-U,Caster wheel pad ,2022-04-29
GB-2187687-A,Trailer with damped caster wheel ,1987-09-16
CN-203288230-U,Movable-type qin stand ,2013-11-13
US-629733-A,Wheeled plow. ,1899-07-25
CN-218661147-U,Caster wheel bracket assembly and robot ,2023-03-21
US-980817-A,Caster-wheel for harvesting-machines. ,1911-01-03
TW-M522139-U,Improved structure of base of caster ,2016-05-21
CN-113210657-A,Helicopter seat structure drilling equipment ,2021-08-06
CN-113134821-A,Omnidirectional movement formula desktop cooperation robot ,2021-07-20
CN-112826694-A,Base supporting device for lower limb rehabilitation training device ,2021-05-25
CN-213324189-U,Laboratory engine transportation and storage device ,2021-06-01
CN-112265414-A,Caster with shock-absorbing function ,2021-01-26
US-906414-A,Spring-cultivator. ,1908-12-08
US-912307-A,Wheeled plow. ,1909-02-16
US-830657-A,Plow. ,1906-09-11
KR-200238912-Y1,Reach type electric forklift truck with leaf spring and driver's seat ,2001-09-25
CA-1083629-A,Ground supported front mounted tractor attachment ,1980-08-12
JP-2020055434-A,Wheel for caster and method for manufacturing the same ,2020-04-09
JP-2005119576-A,Caster ,2005-05-12
TW-200704545-A,The structure of caster wheel ,2007-02-01
ES-1000055-U,"Caster wheel for household goods perfected (Machine-translation by Google Translate, not legally binding) ",1988-01-01
CN-113957673-A,Laundry treating apparatus and control method thereof ,2022-01-21
CN-118494063-A,Caster meeting non-magnetic requirement ,2024-08-16
CN-118002501-A,Caster detection equipment ,2024-05-10
CN-204788627-U,Mobilizable frame -type weighs on ground ,2015-11-18
CN-117886259-A,Vehicle moving device ,2024-04-16
US-11331231-B2,"Mounting unit, caster wheel assembly and wheelchair ",2022-05-17
CN-117799845-A,Omnidirectional mounting vehicle ,2024-04-02
CN-115465805-A,Lifting device and heliostat maintenance tool ,2022-12-13
CN-117716311-A,Reducing movement resistance of equipment including casters ,2024-03-15
CN-214727923-U,Movable bottom plate type caster convenient to adjust ,2021-11-16
CN-215284208-U,Caster with brake ,2021-12-24
AU-2019901812-A0,"Shopping Trolley Hook. A device that can be installed onto the leg of a shopping trolley and hooks into the caster wheel of the trolley thereby inhibiting the wheel from turning. When the device is fitted, the inhibited wheel will ensure that the trolley steers in a more uniform manner. ",2019-06-13
CN-114501885-A,Pesticide preparation physical and chemical data analysis system ,2022-05-13
CN-2686991-Y,Foldable bicycle ,2005-03-23
CN-115517868-A,Brake device with rehabilitation exercise function and wheelchair with rehabilitation exercise function ,2022-12-27
KR-100466166-B1,brake of caster ,2005-01-14
US-2903273-A,"Shopping cart, improved wheel arrangement ",1959-09-08
JP-3675271-B2,Industrial vehicle suspension and reach forklift ,2005-07-27
US-5009545-A,Wire mesh straightening method and apparatus ,1991-04-23
JP-H08322774-A,Working apparatus ,1996-12-10
CN-215398016-U,Caster wheel assembly and electrical equipment ,2022-01-04
CN-110789274-A,Double-brake universal castor ,2020-02-14
US-2024034093-A1,"Caster wheel bracket, caster and movable container ",2024-02-01
CN-115214355-B,Power truckle and moving platform ,2022-12-13
CN-215705465-U,Caster wheel assembling structure and air conditioner with same ,2022-02-01
CN-112828826-A,"Washing machine installation method, installation vehicle and lever tool ",2021-05-25
ES-99234-Y,Caster wheel accommodation bracket ,1964-06-16
CN-112572653-A,Anti-falling device modified from middle support ,2021-03-30
CN-112758235-A,Method for modifying anti-falling device formed by modifying middle support ,2021-05-07
CN-212796399-U,Movable caster capable of braking ,2021-03-26
CN-211066479-U,Caster wheel mounting structure of bowl basket and dish washing machine applying structure ,2020-07-24
FR-2958830-A1,"Mobile kitchen garden, has protection cover, feet, caster wheel and tray bar that are completely dismounted and placed inside vat, where vat is molded by piece made of rigid material and receives soil ",2011-10-21
CN-114787020-A,Vehicle with a steering wheel ,2022-07-22
AU-102598-S,Detachable caster wheel for a wheel barrow ,1989-01-27
ES-1012318-U,"Toy caster wheel. (Machine-translation by Google Translate, not legally binding) ",1990-08-01
US-3270367-A,No bounce caster assembly ,1966-09-06
CN-215304144-U,Combined type storage cabinet ,2021-12-28
CN-112504035-A,Rocket elastic unbalance testing device ,2021-03-16
JP-5948681-B2,Temporary fence for elevator ,2016-07-06
CN-114043217-B,Caster wheel cover assembling machine ,2022-10-28
US-1658273-A,Caster-locking device ,1928-02-07
US-1878000-A,Cultivating implement ,1932-09-20
US-1406861-A,Portable elevator ,1922-02-14
US-883365-A,Wheeled plow. ,1908-03-31
US-1328756-A,Plow ,1920-01-20
US-766258-A,Plow. ,1904-08-02
US-379892-A,hancock ,1888-03-20
US-953145-A,Harvester. ,1910-03-29
US-419180-A,Three-wheel plow ,1890-01-14
CA-1136754-A,"Apparatus and method for ultrasonic inspection of round stock such as tubing, pipe and rod ",1982-11-30
KR-910006136-B1,Suspension device ,1991-08-16
CN-202987101-U,Assembled automobile rescue trailer ,2013-06-12
US-1599485-A,Swivel caster ,1926-09-14
CN-216786562-U,Caster wheel assembly and washing device ,2022-06-21
JP-H05193517-A,Method for compensation of sai and caster to reading of caster and camber ,1993-08-03
CN-116657468-A,Road surface nondestructive testing device ,2023-08-29
CN-217186194-U,Central control caster wheel control device and ultrasonic equipment ,2022-08-16
CN-112078713-A,Double-wheel driven bicycle ,2020-12-15
CN-216886077-U,Caster wheel for forklift ,2022-07-05
CN-117682216-A,Transport bracket ,2024-03-12
CN-115303350-A,Medical device ,2022-11-08
CN-216231468-U,Caster wheel support with mute effect ,2022-04-08
CN-219152091-U,Caster wheel placing seat ,2023-06-09
US-2455048-A,Attachment for trailer boat caster units ,1948-11-30
JP-2000152961-A,Wheelchair with self-running function ,2000-06-06
CN-114367452-A,Auxiliary turntable mechanism for semiconductor sorting ,2022-04-19
CN-2576584-Y,Multifunction telescopic folding bicycle ,2003-10-01
CN-113895497-A,Novel four-wheel folding luggage barrow ,2022-01-07
CN-105984275-A,Novel toppling preventing universal castor ,2016-10-05
CN-216393570-U,Shock attenuation sofa wheel ,2022-04-29
CN-213007400-U,Retractable floating driving caster wheel mechanism and intelligent transport vehicle ,2021-04-20
IL-75879-A0,Spherical bearing and caster wheel including same ,1985-11-29
US-137975-A,Improvement in wheel-plows ,1873-04-15
CN-2336985-Y,Castor with dustproof protective cover ,1999-09-08
US-2660265-A,Braking caster ,1953-11-24
US-3358792-A,Caster brake ,1967-12-19
CN-215751719-U,Caster wheel convenient for replacing wheel body ,2022-02-08
CN-113008821-A,Sea urchin toxicology test device ,2021-06-22
CN-216577309-U,Caster wheel production supporting device convenient to process and position ,2022-05-24
US-1815332-A,Caster wheel lock for plows ,1931-07-21
CN-110682738-A,Caster with novel automatic braking device ,2020-01-14
CN-216683941-U,High-strength caster wheel easy to disassemble and assemble ,2022-06-07
CN-216184227-U,Convenient-to-operate caster wheel mechanism and furniture ,2022-04-05
CN-112319135-A,Folding caster device ,2021-02-05
CN-221567893-U,Adjustable integrated side groove pouring template device ,2024-08-20
CN-112124451-A,Intelligent stair carrying device ,2020-12-25
JP-H07112257-A,Automatic soot measuring instrument in belt and wheel type continuous caster ,1995-05-02
CN-214670042-U,Laser projection host ,2021-11-09
US-1204403-A,Grain harvester and binder. ,1916-11-14
US-1508880-A,Caster ,1924-09-16
US-1494078-A,Vehicle ,1924-05-13
US-1361964-A,Tractor ,1920-12-14
US-613994-A,Wheel-scraper ,1898-11-08
US-1062897-A,Caster. ,1913-05-27
CN-2568443-Y,Improved conjunction structure of caster frame ,2003-08-27
CN-201500189-U,Portable instrument table ,2010-06-09
CN-208181138-U,A kind of traction wheel assembly assembling device ,2018-12-04
CN-216834748-U,Material rack ,2022-06-28
CN-111798583-A,Portable portable manpower resources attendance device ,2020-10-20
US-629732-A,Wheeled plow. ,1899-07-25
CN-215904638-U,Logistics trolley for sweeping floor ,2022-02-25
CN-117755511-A,Adjustment method of omnidirectional mounting vehicle ,2024-03-26
CN-115431671-A,Multifunctional movable caster ,2022-12-06
CN-218084946-U,Caster wheel mounting structure of flat car ,2022-12-20
CN-111323482-A,Dam service life detection device ,2020-06-23
US-10978992-B2,Multiple configurable solar photovoltaic assembly ,2021-04-13
KR-970036591-U,Wax pump transfer cart with caster wheel ,1997-07-26
US-1687113-A,Caster ,1928-10-09
JP-H11500050-A,Bag with ergonomic upright wheels ,1999-01-06
CN-215621189-U,Low-vibration mute type caster ,2022-01-25
WO-9423960-A1,A folding caster for hand luggage ,1994-10-27
CN-213171185-U,Single-beam type hoisting equipment for speed reducer ,2021-05-11
US-2089319-A,Grading machine ,1937-08-10
JP-H0976704-A,Caster with lock mechanism ,1997-03-25
US-1150883-A,Caster. ,1915-08-24
US-1348150-A,Caster ,1920-08-03
CN-111364396-B,Movable expressway isolation belt ,2021-08-24
US-6722113-B2,Removable counterweights for outdoor power equipment unit ,2004-04-20
CN-211994991-U,Suitcase truckle with automatic mud sediment function of removing ,2020-11-24
CN-112644225-A,Cart caster with steering positioning brake mechanism and manufacturing method thereof ,2021-04-13
CN-107932403-A,A kind of device for being used for industry maintenance and replacing ,2018-04-20
JP-H0692438-A,Switching device for transport dolly ,1994-04-05
EP-0682485-A1,Caster for isolating shock and vibration loads ,1995-11-22
GB-2384175-A,Locking device for a wheel of a trolley ,2003-07-23
US-1822998-A,Antifriction caster wheel and support ,1931-09-15
CN-217227194-U,Caster wheel mounting structure of robot ,2022-08-19
US-2566853-A,Caster ,1951-09-04
CN-112426301-A,Medical bed underframe comprising orientation wheels ,2021-03-02
CN-212921014-U,Caster wheel structure and integrated stove ,2021-04-09
CN-212171837-U,Electromagnetic steering controllable universal wheel ,2020-12-18
US-2226572-A,Adjustable implement support ,1940-12-31
US-556972-A,hardy ,1896-03-24
US-1387810-A,Sulky-plow ,1921-08-16
US-1142930-A,Swivel-caster. ,1915-06-15
CN-2032561-U,Full-plastic adjusting universal caster ,1989-02-15
CN-117582343-A,Method and system for patient transfer ,2024-02-23
TW-M242386-U,Improved structure for universal caster wheel ,2004-09-01
JP-H06321146-A,Skid car ,1994-11-22
CN-115320292-A,Medical equipment truckle fixed knot constructs ,2022-11-11
CN-218316793-U,Multifunctional carrying device ,2023-01-17
CN-115175496-A,Mobile airport ground static power supply ,2022-10-11
CN-115103588-A,Independent chip mounter material rack ,2022-09-23
CN-218536209-U,Caster wheel braking assembly and caster wheel applying same ,2023-02-28
US-2533403-A,Caster with grounding link ,1950-12-12
WO-2018209677-A1,Suitcase having extendable-height caster wheels ,2018-11-22
CN-218839622-U,Caster wheel retraction jack with brake ,2023-04-11
CN-109809000-A,A kind of pallet easy to remove convenient for assembling ,2019-05-28
CN-215607157-U,Novel nursing tray ,2022-01-25
CN-113605735-A,A ceramic tile junction repair car for interior decoration ,2021-11-05
US-11814029-B2,Caster wheel orientation sensor assembly ,2023-11-14
CN-113547030-A,Sound-insulation aluminum profile continuous pressing system ,2021-10-26
CN-216931511-U,Wheel seat convenient for mounting fishing reel ,2022-07-12
CN-216318769-U,Wheel fixing device of four-wheel walking aid ,2022-04-19
US-2524819-A,Retractable caster ,1950-10-10
CN-110949064-A,Double-wheel screw rod brake ,2020-04-03
CN-113005706-A,Control method of clothes treatment apparatus having moving unit ,2021-06-22
JP-H10203106-A,Locking universal type caster device ,1998-08-04
US-2004181907-A1,Ball-shaped caster assembly ,2004-09-23
WO-9902069-A1,An articulating bed and devices for an articulating bed ,1999-01-21
CN-220836696-U,Express sorting vehicle and express transportation line ,2024-04-26
CN-112922443-A,Building protection fence ,2021-06-08
JP-3107685-U,A device that eliminates the difference between inner wheels when driving a front-wheel drive vehicle ,2005-02-03
CN-213468625-U,A loading attachment for plastic granules sieve separator ,2021-06-18
JP-4199852-B2,Camper ,2008-12-24
US-11772420-B2,Caster wheel brake and anti-swivel system ,2023-10-03
CN-112606627-A,Mute type universal caster device and adjusting method thereof ,2021-04-06
CN-87201792-U,Universal sphere-type pedal-wheel ,1988-03-02
CN-109231058-A,A kind of trolley halting mechanism ,2019-01-18
JP-H08132808-A,Wheel replacing device for aircraft ,1996-05-28
US-11691816-B2,Caster wheel alignment system for conveyor system ,2023-07-04
US-619896-A,Insulating-caster ,1899-02-21
JP-3172906-B2,Wheelchair caster wheel mounting structure ,2001-06-04
US-3868745-A,Wheeled cart ,1975-03-04
JP-H09503149-A,Baggage case ,1997-03-31
JP-H07172359-A,Trackless type unmanned automated vehicle ,1995-07-11
US-D398517-S,Caster wheel ,1998-09-22
JP-H10119785-A,Object conveying device ,1998-05-12
CN-114056001-A,Wear-resisting type truckle ,2022-02-18
CN-112297742-A,Suspension mechanism and AGV car ,2021-02-02
US-1191267-A,Steering mechanism for tractors. ,1916-07-18
US-1916663-A,Caster ,1933-07-04
US-986812-A,Caster. ,1911-03-14
CN-212637031-U,Universal caster with brake ,2021-03-02
KR-102360045-B1,caster for shopping basket ,2022-02-08
JP-7470381-B2,Caster device and moving body ,2024-04-18
CN-212446958-U,Caster capable of braking ,2021-02-02
JP-2012061885-A,Power-assisted truck ,2012-03-29
JP-H08282203-A,Caster of traveling case ,1996-10-29
JP-4247907-B2,Escalator cart ,2009-04-02
CN-110949467-A,Fixed wheel structure of handcart ,2020-04-03
CN-217532401-U,Mobile equipment chassis truckle ,2022-10-04
JP-2008168721-A,"Cover for caster, caster, and musical instrument with caster ",2008-07-24
US-2425516-A,Caster wheel assembly for tractors ,1947-08-12
US-3071388-A,Caster wheel mounting ,1963-01-01
JP-3243121-U,chair caster ,2023-08-04
JP-S6283201-A,Wheel for bogie ,1987-04-16
CN-111038563-A,Four-wheel folding handcart ,2020-04-21
DE-19504073-C1,"Caster wheel for furniture, appliances, etc. ",1996-08-08
CA-1232720-A,Brake for twin wheel casters ,1988-02-16
US-4805542-A,Table ,1989-02-21
US-2657949-A,Towed sprayer ,1953-11-03
US-2004178595-A1,Wheel adjustment system for a go-kart ,2004-09-16
CN-218750109-U,Universal caster ,2023-03-28
CN-218287323-U,Extra-heavy type universal nylon caster ,2023-01-13
CN-218702533-U,Caster steering support ,2023-03-24
TW-M452663-U,Luggage caster wheel ,2013-05-11
CN-216161879-U,UPS intelligence energy storage battery cabinet ,2022-04-01
CN-109384164-A,A kind of wheel jacking system station ,2019-02-26
CN-215850575-U,Caster device ,2022-02-18
CN-109674422-A,Adjusting device and dish washing machine comprising same ,2019-04-26
US-6886843-B1,Seating frame for wheelchair ,2005-05-03
US-3806986-A,Caster wheel mountings for industrial trucks and mobile platforms ,1974-04-30
TW-M289675-U,Movable type transmission caster wheel apparatus for round rod polishing machine ,2006-04-21
JP-S61113502-A,Twin wheel caster ,1986-05-31
CN-204689582-U,Spiral lift platform ,2015-10-07
US-403892-A,Wheel-plow ,1889-05-21
JP-2001341512-A,Rear suspension device for reach fork lift truck ,2001-12-11
CA-1202456-A,Split wheel caster ,1986-04-01
CA-1295100-C,Retractable caster ,1992-02-04
US-2024198726-A1,Caster with Compliant Brake Ring or Brake Block ,2024-06-20
US-2905275-A,Caster brake ,1959-09-22
JP-7332547-B2,wheelbarrow brake ,2023-08-23
CN-112572654-A,Manufacturing and using method of pedal type anti-falling device of electric vehicle ,2021-03-30
KR-102195006-B1,Caster and method of manufacturing the same ,2020-12-24
CN-117301763-A,Intelligent speed change control method for casters ,2023-12-29
CN-212446963-U,Adjustable caster device ,2021-02-02
CN-221276110-U,"Foot assembly, box component and clothes treatment device ",2024-07-05
CN-115891504-A,Anti-seismic caster and assembling process thereof ,2023-04-04
US-1501743-A,Caster wheel ,1924-07-15
US-1246896-A,Wheeled cultivator and the like. ,1917-11-20
JP-H06199102-A,Caster provided with switch lock mechanism ,1994-07-19
US-5655259-A,Caster assembly ,1996-09-23
US-7237803-B2,Rear drag wheel mount ,2007-07-03
CN-211721134-U,Novel vegetable harvester ,2020-10-23
JP-2515419-Y2,Twin wheel caster braking system ,1996-10-30
CN-111714826-A,Treadmill is folded to integral type ,2020-09-29
US-5484152-A,Recumbent tricycle apparatus with differential brake steering ,1996-01-16
US-4246794-A,"Apparatus and method for ultrasonic inspection of round stock such as tubing, pipe and rod ",1981-01-27
US-5165141-A,Spring loaded heavy duty caster system for supporting a fluidized patient support system ,1992-11-24
CN-218702529-U,Novel truckle structure ,2023-03-24
US-2799514-A,Store service carrier with trailing caster ,1957-07-16
JP-2002264606-A,Caster device for wheelchair ,2002-09-18
TW-M243377-U,Improved structure for universal caster wheel ,2004-09-11
CN-217693997-U,Portable mobile water quality monitoring device ,2022-10-28
US-3687241-A,Caster brake ,1972-08-29
CN-112937908-A,Adjustable caster supporting system and adjusting method ,2021-06-11
US-1592043-A,Coated-core caster and truck wheel ,1926-07-13
CN-214989865-U,Supporting leg supporting structure of crane ,2021-12-03
CN-112709484-A,Supporting caster for electric power grid telegraph pole erecting device ,2021-04-27
JP-4108558-B2,caster ,2008-06-25
US-1188674-A,Caster. ,1916-06-27
CN-217048129-U,Universal caster capable of bearing heavy load ,2022-07-26
CN-216300667-U,Universal caster with brake ,2022-04-15
JP-H0755652-B2,Caster type traveling device ,1995-06-14
US-1197712-A,Caster-wheel. ,1916-09-12
KR-100457797-B1,Caster ,2004-11-18
CN-209814177-U,Self-balancing children's scooter ,2019-12-20
US-3884493-A,Caster wheels for a portable appliance ,1975-05-20
KR-0116760-Y1,Wheel for a wheel chair ,1998-04-22
CN-214874020-U,Regulating and driving lifting caster ,2021-11-26
CN-213472670-U,AGV is with heavy load truckle structure ,2021-06-18
JP-4055112-B2,Caster connection system ,2008-03-05
US-3724022-A,Conveying caster means ,1973-04-03
JP-H06143908-A,Caster and wheelchair with caster using this caster ,1994-05-24
JP-2020125070-A,Caster stopper ,2020-08-20
CN-213831228-U,Full plastic caster ,2021-07-30
US-426020-A,Caster ,1890-04-15
CN-115196210-A,High-speed collision-resistant container caster and main body structure thereof ,2022-10-18
US-3962849-A,Caster wheel arm ,1976-06-15
CN-212637028-U,Brake type caster ,2021-03-02
JP-H07241116-A,Fertilizer sprayer for tea plant field ,1995-09-19
DE-3509863-A1,Wheel fork for transport trolleys or the like ,1986-10-02
US-3098257-A,Caster wheel for trailers ,1963-07-23
US-2003090075-A1,Swivel caster ,2003-05-15
CN-114590738-A,Climbing formula lift integrated device ,2022-06-07
JP-S5934903-A,Wheel for caster ,1984-02-25
JP-S6046404-U,Caster wheel buffer control device for road marking applicator ,1985-04-01
BR-PI0403029-B1,caster and brake system ,2016-01-26
US-4282935-A,"Multiple section, adjustable width plow ",1981-08-11
US-2812193-A,Landing gear for trailer trucks ,1957-11-05
US-2001049859-A1,Caster wheel assembly ,2001-12-13
KR-20050105915-A,Easy-to-steer walking vehicle ,2005-11-08
US-619351-A,Marshall sattley ,1899-02-14
US-6050345-A,Ergonomic tool with lift assist mechanism ,2000-04-18
US-1483598-A,Caster wheel ,1924-02-12
US-2987752-A,Caster ,1961-06-13
US-2834126-A,Motor grader attachment support and grader blade control ,1958-05-13
US-5181587-A,Lock indicator for caster ,1993-01-26
CN-220923701-U,Caster and trolley ,2024-05-10
CN-221366433-U,Caster with steering mechanism ,2024-07-19
CN-220517895-U,Caster easy to disassemble and assemble ,2024-02-23
CN-112619044-A,Multifunctional body-building equipment ,2021-04-09
CN-219715079-U,Caster bearing testing device ,2023-09-19
CN-217969124-U,Caster with anti-collision structure ,2022-12-06
CN-217532405-U,Truckle that braking effect is good ,2022-10-04
US-3547459-A,High capacity caster ,1970-12-15
CN-217455518-U,High-bearing caster ,2022-09-20
US-3124922-A,Caster wheel for a side delivery rake ,1964-03-17
JP-H1159114-A,Carrying cart ,1999-03-02
CN-212242820-U,Caster and caster steering device ,2020-12-29
US-2005091747-A1,Adjustable bed carriage ,2005-05-05
KR-200425063-Y1,Caster ,2006-09-01
CA-1136557-A,Caster brake and swivel lock for stretcher or the like like ,1982-11-30
CN-216361217-U,Medical supporting device free of field installation and mobile equipment carrying platform ,2022-04-22
CN-111616494-A,Wheel leg type load bearing device ,2020-09-04
CN-118082417-A,Universal wheel ,2024-05-28
CN-214311596-U,Computer case with telescopic truckles ,2021-09-28
CN-202399831-U,Caster with double-wheel structure ,2012-08-29
US-3283485-A,Drive system for agricultural machine ,1966-11-08
CN-213831229-U,Medical damping caster ,2021-07-30
JP-H0549794-U,Variable wheel width traveling device and variable wheel width work vehicle ,1993-06-29
TW-M405188-U,Improved structure of the caster frame in luggage ,2011-06-11
AU-2063483-A,Adjustable caster wheel ,1984-05-31
CA-2488788-C,Caster assembly ,2008-11-04
JP-3658345-B2,Snow plow side force detection and drag generator and caster wheel contact force holding device ,2005-06-08
CN-213565265-U,Medical truckle antiwind shell structure ,2021-06-29
US-951553-A,Caster-wheel. ,1910-03-08
US-3828953-A,Tractor wheel dolly ,1974-08-13
CA-2449607-A1,Method and apparatus for securing a caster wheel ,2004-05-19
JP-3452826-B2,caster ,2003-10-06
US-4923346-A,System for anchoring a mobile equipment carrier on a platform ,1990-05-08
CN-212667032-U,Caster with direction brake ,2021-03-09
KR-101984968-B1,Caster for chair ,2019-06-03
JP-2004097408-A,Footrest structure of motor-driven wheelchair ,2004-04-02
CN-213070576-U,Piano caster with shock-absorbing function ,2021-04-27
CN-113479018-A,Industrial caster for underwater bottom sinking equipment ,2021-10-08
CN-212472966-U,Durable double-shaft bearing type caster ,2021-02-05
JP-H09276069-A,Chair with caster provided with spring ,1997-10-28
US-3009645-A,Self-propelled irrigation sprinkler ,1961-11-21
US-4865782-A,Grouting method ,1989-09-12
US-3913683-A,Implement transport attachment ,1975-10-21
US-2955848-A,Hitch device ,1960-10-11
US-4649595-A,Resiliently mounted caster having a pivotally mounted inner body member ,1987-03-17
JP-H08258999-A,Image forming device and large-capacity paper feeding device ,1996-10-08
JP-2000006796-A,Track carriage system ,2000-01-11
JP-2001334930-A,Floor surface traveling truck ,2001-12-04
US-4178007-A,Hydraulic anti-shimmy device for caster wheels ,1979-12-11
CN-210960714-U,Laborsaving suitcase ,2020-07-10
JP-2006204175-A,Carriage-conveying mechanism ,2006-08-10
KR-100313645-B1,caster ,2001-11-15
CN-216942516-U,Novel buffering directional cart caster ,2022-07-12
US-1039590-A,Caster. ,1912-09-24
KR-200387349-Y1,a caster capable of controlling a height ,2005-06-17
CN-217593315-U,Walking frame with automatic aligning wheel ,2022-10-18
CN-217353457-U,Novel mounting operation platform for weir plate of circular sedimentation tank ,2022-09-02
CN-117656700-A,Shock-absorbing universal wheel for luggage ,2024-03-08
US-4911269-A,Twin wheel caster with integral brake assembly ,1990-03-27
CN-214928711-U,Overload hardware wheel carrier ,2021-11-30
US-1092506-A,Caster device. ,1914-04-07
CN-214988205-U,High-speed rail conveying system with caster tool ,2021-12-03
MX-PA96003725-A,Transpo platform cart ,1997-12-01
US-2845718-A,Axle aligning device ,1958-08-05
CN-218303588-U,Positioning mechanism for silk fabric drawing board ,2023-01-17
US-2960717-A,Caster swivel control device ,1960-11-22
CN-1698518-A,Foot wheel assembly of vacuum cleaner ,2005-11-23
US-2369609-A,Caster ,1945-02-13
US-4474385-A,Removable wheel assembly for wheelchairs ,1984-10-02
US-1006107-A,Wheeled plow. ,1911-10-17
CN-209591498-U,A kind of caster of piano with shock-absorbing function ,2019-11-05
CN-109383839-A,A kind of wheel jacking system ,2019-02-26
CA-2417428-A1,Offset hitch for mowing machines ,2004-08-20
US-759299-A,Caster-wheel. ,1904-05-10
CN-208085397-U,A kind of wear-resisting medical caster ,2018-11-13
CN-212148250-U,Shock-absorbing buffer wheel ,2020-12-15
US-2129579-A,Caster ,1938-09-06
CN-213040084-U,Wheel carrier structure of gas pipeline crawler ,2021-04-23
CN-214564357-U,Damping caster for medical trolley ,2021-11-02
JP-S6411505-B2,Patent JPS6411505B2 ,1989-02-27
US-4038717-A,Caster mounting structure ,1977-08-02
US-2126811-A,Caster ,1938-08-16
US-7673697-B2,Sod laying machine ,2010-03-09
US-2723415-A,Caster wheel ,1955-11-15
JP-H0393979-A,Fold type electric stage device ,1991-04-18
JP-H09299123-A,Bag with wheels ,1997-11-25
TW-M288889-U,Retaining structure for sliding caster wheel and application thereof ,2006-03-21
JP-H10115397-A,Image forming device ,1998-05-06
JP-S63212186-A,Low deck small-sized vehicle for wheel chair ,1988-09-05
US-2583383-A,Side delivery rake and frame therefor ,1952-01-22
US-2002189051-A1,Caster brake assembly ,2002-12-19
CN-219650943-U,Multi-pedal controlled castor ,2023-09-08
CN-116039288-B,Multi-pedal controlled castor and use method thereof ,2023-10-27
US-869258-A,Caster-controller for wheeled plows. ,1907-10-29
US-4207651-A,Swivel caster having thread protection ,1980-06-17
KR-200203752-Y1,Carrier caster ,2000-11-15
JP-H089713-A,Dehydration apparatus for seed ,1996-01-16
US-4013808-A,Sealed caster ,1977-03-22
US-2267403-A,Furniture caster ,1941-12-23
US-3853330-A,Device for locking a tow bar together with a steering member ,1974-12-10
JP-3302243-B2,Caster wheel suspension mechanism for reach type forklift ,2002-07-15
JP-3858967-B2,Reach-type forklift rear wheel suspension system ,2006-12-20
CN-107747669-A,A kind of photographing camera distance to the ground maintaining body over the ground ,2018-03-02
EP-0221366-B1,Improved lightweight aircraft furniture caster assembly ,1992-01-15
CN-104587647-A,Tennis ball recovery device ,2015-05-06
CN-216349022-U,Raw material weighing device of MPC polymer ,2022-04-19
US-5129170-A,"Snowplow mounting, removal, and storage system ",1992-07-14
CN-110150861-B,Height-adjustable desk convenient for classified collection of building blocks ,2021-12-31
US-4720894-A,Caster pintle having a sleeve with a ring centering mechanism ,1988-01-26
JP-2005178504-A,Auxiliary vehicle for basket cart ,2005-07-07
US-3472322-A,Automatic farming system ,1969-10-14
CN-214057126-U,Fifth wheel of electric manipulator ,2021-08-27
US-3263266-A,Vertical pressure swivel caster ,1966-08-02
CN-108178077-A,A kind of hoist engine for being conducive to carry ,2018-06-19
JP-2004291799-A,Movable carriage ,2004-10-21
US-6422656-B2,Molded wheel and bearing assembly ,2002-07-23
US-2198270-A,Trailer ,1940-04-23
